Product name,SKU,Slug,Category,Brand,Quantity,Minimum stock,First price,Second price,Third price,Purchase price (cost),Weight (kg),Barcode,Description,Status,Images
 JUVER DISFRUTA EXOT ANANAS COCO,JUVER DISFRUTA EXOT,ananac-coco,product,,31,0,22.5,0,0,22.5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788528257/inventory-system/products/nw5a4tgzcpc97y6vyv27.jpg
 gobelet plastique,gobelet-plastique,gobelet-plastique,embalo,,900,0,0.5,0,0,0.5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788359854/inventory-system/products/id5ns8dgzf1dynvkxgao.webp
 planche gateaux,gateaux,gateaux,patisssserie,,1000,0,0.34,0,0,0.408,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788874687/inventory-system/products/lexbyjosqejvh42dmatp.webp
9asbor,9asbor,9asbor,product,,2,0,0,0,0,10,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788343717/inventory-system/products/v7hxvmxswdkdg930nwqb.jpg
9ra3,9ra3,9ra3,Gumes,,26,0,0,0,0,10.7,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788684616/inventory-system/products/qteh8gdd1ueexuiur9ik.jpg
AIL SEMOULE DUPRO 500GR,98,ail-semoule-dupro-500gr,product,,2,0,84,0,0,84,0,6111242804302,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789052755/inventory-system/products/y4dlh9kkugokywow8a6x.webp
AILLE DE POULET,150,aille-de-poulet-1,product,,0,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788856831/inventory-system/products/d0yemozxndeqfgr0yfdq.png
"AMBRO GIO 2,5kg",230,ambro-gio-2-5kg,product,,1,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788859969/inventory-system/products/fwgx8wxqngv5x8kzdh9a.jpg
Amande Poudre 1 kg,274,amande-poudre-1-kg,product,,10,0,130,0,0,110,0,,,Inactive,
Avocat,avocat,avocat,Gumes,,55.4,0,51,0,0,51,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788336662/inventory-system/products/tu373qqmyedoyzhdgt0k.jpg
BASE BABBI 100 C/F,5635,base-babbi-100-c-f,product,,20,0,248,0,0,198.4,0,,,Inactive,
BASE LIMONE 50,5651,base-limone-50,product,,7,0,278,0,0,278,0,,,Inactive,
BEURRE NEW ZEALAND,176,beurre-new-zealand,product,,25,0,98,0,0,98,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788865360/inventory-system/products/unip4fuahncsvhltghbb.jpg
BIS-KO,5672,bis-ko,product,,2,0,280,0,0,280,0,,,Inactive,
BISCOF LOTUS 250 GR,03,biscof-lotus-250-gr,patisssserie,ABM,43,0,40,0,0,26,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788363829/inventory-system/products/k8o6sdjbmfrjdbva6b0q.webp
Banan,banan,banan,Gumes,,43.6,0,0,0,0,18,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788336548/inventory-system/products/ciyom7fyqpnbjvdjc0w6.jpg
Barba,barba,barba,Gumes,,10.1,0,0,0,0,5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788506184/inventory-system/products/ern2sfdhm9wmhnujpjiw.webp
Bayeta,beyeta,beyeta,nettoyage,,619,0,0,0,0,0.98,0,8411373001648,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788866235/inventory-system/products/niq0o45icceblh1jzozx.jpg
Belbola 25gk,belbola,belbola,beldi,,1,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788866389/inventory-system/products/pll99w2qa2wzse0atc0b.webp
Boit Microwave 950ml,microwave,microwave,product,,87,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788355396/inventory-system/products/gp4ws4kwduqir069xoqe.jpg
Boite paticerie  grande ,1234,1234,patisssserie,marone,52,0,0,0,0,85,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788867423/inventory-system/products/oaaudmnl8glhofpo8jnj.jpg
Boite paticerie moyene ,00000,00000,patisssserie,marone,252,0,0,0,0,45,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788872617/inventory-system/products/mwxp20nr95kawueo7vr8.jpg
Boite paticerie petit ,1111,1111,patisssserie,marone,52,0,0,0,0,30,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788872709/inventory-system/products/twmgk7gudwptshhoacz9.webp
Boites Hamburger,hamburger,hamburger,product,,61,0,1.15,0,0,1.15,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788353999/inventory-system/products/ckegfgkg3lyfztiylyyt.webp
Bourch,bourch,bourch,patisssserie,,2,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788270813/inventory-system/products/syvqo85litoqhcorh889.jpg
Bruno 22%,0909,0909,patisssserie,,11,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788195448/inventory-system/products/uejwikagvqyynbannzi5.jpg
Buket,buket,buket,product,,8,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788194663/inventory-system/products/i4npygijywbzjbtfkwrq.jpg
Burrata,BURRATA ZANETTI 150G,burrata,product,,56,0,61.75,0,0,61.75,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788350067/inventory-system/products/u6qqvivkbrhmxi7t54ty.jpg
CACAO 1kg,250,cacao-1kg,product,,0,0,0,0,0,0,0,,,Inactive,
CALAMAR,109,calamar,product,,45.69,0,120,0,0,165.455,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788362505/inventory-system/products/ujnndazntpivrpufw91b.jpg
CARAMEL SPECIAL,5671,caramel-special,product,,2,0,260,0,0,260,0,,,Inactive,
CHAMPIGNON noir,chempo,chempo,product,,4,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788190588/inventory-system/products/okfy6k0guxetux0h3xfk.jpg
CHAPLEUR PANKO 25KG,12,chapleur-panko-25-kg-320dh,TAWABIL,ABM,1,0,320,0,0,320,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788943629/inventory-system/products/ssb687jlcii5aazuhmtk.jpg
CHOCOLAT RISTORA,102,chocolat-ristora,product,,6,0,160,0,0,160,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788518815/inventory-system/products/sathiq9f7qh5p0xgztmm.jpg
COCA,159,coca,bar,,15,0,182,0,0,182,0,5449000000996,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788697757/inventory-system/products/n4bxisrwgnhecjncojkg.jpg
COLACAO 310G,13,colacao-310g,bar,,36,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788790304/inventory-system/products/sy9e0qrhjg5hejrlq8dt.webp
COMPLETO L PLUS 1kg,242,completo-l-plus-1kg,product,,10,0,0,0,0,0,0,,,Inactive,
CONFITURE AICHA,15,confiture-aicha,P dej,ABM,31,0,31,0,0,31,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788764750/inventory-system/products/efzvqdga9afi29goqbzh.jpg
CORNE DE GLACE,178,corne-de-glace,product,,3,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788941134/inventory-system/products/tfg07u4jq1lmihbcbfhu.jpg
CREMA INGLIESE 1kg,243,crema-ingliese-1kg,product,,4,0,0,0,0,0,0,,,Inactive,
CREME BALSAMIQUE,125,creme-balsamique,SALAD,,-0.025,0,27.5,0,0,21.5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788790177/inventory-system/products/wuvbjwlpsw29w9schajl.webp
CREME CHEESE GASTRO 1 KG,17,creme-cheese-gastro-1-kg,patisssserie,ABM,54,0,47,0,0,47,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788944973/inventory-system/products/grprifu7incov3dsgc9n.webp
CREME CUISSON GASTRO,18,creme-cuisson-gastro,souce,ABM,122,0,28,0,0,28,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788945353/inventory-system/products/jpxyarvvuffl4hiyl6lu.webp
CREVETTE PIL PIL,crevette,crevette-pil-pil,product,,24,0,120,0,0,120,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788435288/inventory-system/products/ecef6y3chccj4acjkdew.jpg
CRISPY,20,crispy,TAWABIL,ABM,2,0,24,0,0,24,0,8001718003255,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789123537/inventory-system/products/pfjbsfskc4hbjhyccsz8.jpg
CROCCANTE DI MANDORLA 2kg,228,croccante-di-mandorla-2kg,product,,1,0,0,0,0,0,0,,,Active,
CURRY POUDRE DUPRO 450GR,99,curry-poudre-dupro-450gr,product,,3,0,60,0,0,60,0,6111242804319,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788945421/inventory-system/products/fgapk1i4t7k7t0ej1y0r.webp
Carata,carat à,carata,nettoyage,,0,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788856133/inventory-system/products/lkticdmwh3sioli2nv3p.webp
Champignon,champignon,champignon,Gumes,,24.05,0,0,0,0,60,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788336278/inventory-system/products/ghckka6piqn4qydmm2qc.jpg
Chocolat Blanc,285,chocolat-blanc,product,,27.94,0,160,0,0,160,0,,,Inactive,
Chocolat Blanc 5/5,313,chocolat-blanc-5-5,product,,1,0,0,0,0,0,0,,,Inactive,
Chocolat Blanc 5kg,267,chocolat-blanc-callebaut-2-5kg,product,,21,0,0,0,0,0,0,,,Inactive,https://res.cloudinary.com/djv5omejv/image/upload/v1788198036/inventory-system/products/anqu4ae4csqhzvyjl7sc.jpg
Chocolat Noir (VAN HOUTEN) 5kg,271,chocolat-noir-van-houten-5kg,product,,35,0,152,0,0,152,0,,,Active,
Chocolat noir (plaque) 1 kg,296,chocolat-noir-plaque-1-kg,product,,25,0,150,0,0,140,0,,,Inactive,
Cookies,cookies,cookies,product,,13,0,2,0,0,2,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788619640/inventory-system/products/w5msqivrxifctheq6gu1.jpg
Creme Caramel 4kg (4kg*5pc),292,creme-caramel-4kg-4kg-5pc,product,,2,0,160,0,0,160,0,,,Active,
Creme Fraiche,298,creme-fraiche,product,,48,0,35,0,0,31,0,,,Active,
Creme Patissiere 5kg,287,creme-patissiere-5kg,product,,0,0,100,0,0,100,0,,,Inactive,
Cresp,crasp,crasp,product,,11,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788189042/inventory-system/products/adxxjk2woxh6waavmiuj.jpg
DAHAB arabica,199,dahab,bar,,8,0,0,0,0,0,0,6111254590255,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788271954/inventory-system/products/twymku8ntvpa7sobzzdu.jpg
DAHAB bresil,DAHAB bresil,bresil,bar,,10,0,125,0,0,125,0,6111254590019,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788444046/inventory-system/products/qswgjlxd8bdblf6bgtvv.webp
DAILY CREM 3kg,251,daily-crem-3kg,product,,0,0,0,0,0,0,0,,,Active,
DEMI GLACE,22,demi-glace,souce,ABM,23,0,65,0,0,65,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789028525/inventory-system/products/vz40wqzxpvqzwl5wdvts.png
DEXTROSE,dextrose,dextrose,patisssserie,,26,0,25,0,0,21.25,0,,,Active,
DOUX cerises amarend,amarend,amarend,patisssserie,,15,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788196882/inventory-system/products/belyx4ahi4znuj8dvyiz.jpg
Dadisol,dadisol,dadisol,product,,7,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788195107/inventory-system/products/ciyx2frdxx0jdqk34lla.jpg
Drnjal,denjal,denjal,Gumes,,3,0,0,0,0,5,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788333090/inventory-system/products/gg2wfrjsfsje0ubpo4zo.jpg
ENERGY DRINK 250 ML*24 PS,23,energy-drink-250-ml-24-ps,boisson,ABM,50,0,180,0,0,180,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788791895/inventory-system/products/aqhxhdte1c86wxdxixcq.jpg
ENTROCOTE,151,entrocote-1,product,,0,0,0,0,0,0,0,,,Active,
EmRobage,emro,emro,product,,16,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788196759/inventory-system/products/ktlmwlrtkois5abpacrq.jpg
Emporter creep,2222,2222,embalo,marone,75,0,2.5,0,0,2.5,0,,,Active,
Emporter salad ,9999,9999,embalo,,750,0,0,0,0,0,0,,,Active,
Emporter tarte glace care  (ferchi),889988,889988,embalo,,51,0,0,0,0,0,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788196546/inventory-system/products/jclr1i1bnkhqhqls32of.jpg
